date,platform,content_type,title,status,notes
2026-07-01,YouTube,Video,Introduction to Topic A,draft,
2026-07-02,Facebook,Post,Teaser for Episode 1,draft,
2026-07-03,Twitter,Thread,Key Takeaways from Topic A,draft,
2026-07-04,LinkedIn,Article,Deep Dive: Topic A Analysis,draft,
2026-07-05,TikTok,Short,Quick Tip: Topic A Hack,draft,
2026-07-06,YouTube,Short,Behind the Scenes,draft,
2026-07-07,Facebook,Post,Weekly Roundup,draft,
2026-07-08,YouTube,Video,Topic B Introduction,draft,
2026-07-09,Twitter,Post,Poll: What topic next?,draft,
2026-07-10,LinkedIn,Post,Industry Insight,draft,
